Date,Open,High,Low,Close,Volume
12/4/2020,497.50,504.50,493.64,498.31,3666243
12/7/2020,500.01,517.76,497.77,515.78,4289293
12/8/2020,517.90,521.49,505.55,512.66,4228950
12/9/2020,510.53,514.50,491.29,493.60,4178768
12/10/2020,494.56,503.77,492.91,501.09,3018203
12/11/2020,495.00,503.34,494.85,503.22,3210928
12/14/2020,505.44,524.16,501.18,522.42,5770424
12/15/2020,518.50,524.70,513.56,519.78,3398209
12/16/2020,520.11,527.38,517.69,524.83,3682392
12/17/2020,529.00,535.49,526.44,532.90,3193377
12/18/2020,533.20,536.37,526.02,534.45,4502692
12/21/2020,530.05,532.62,521.15,528.91,3893964
12/22/2020,527.69,530.40,520.50,527.33,1908529
12/23/2020,524.76,526.32,514.20,514.48,2393187
12/24/2020,515.12,519.35,512.21,513.97,1143952
12/28/2020,516.43,523.66,507.13,519.12,2891867
12/29/2020,519.90,536.55,515.48,530.87,4022358
12/30/2020,530.13,533.26,523.69,524.59,1876286
12/31/2020,525.53,545.50,523.15,540.73,5392322
1/4/2021,539.00,540.80,515.09,522.86,4444407
1/5/2021,521.55,526.78,515.89,520.80,3133872
1/6/2021,511.97,513.10,499.50,500.49,5346210
1/7/2021,508.28,516.44,506.42,508.89,3686448
1/8/2021,511.31,513.24,504.51,510.40,2973949
1/11/2021,507.84,510.73,497.95,499.10,3812720
1/12/2021,500.00,501.09,485.67,494.25,5990425
1/13/2021,495.50,512.35,493.01,507.79,5032099
1/14/2021,507.35,514.50,499.58,500.86,4177357
1/15/2021,500.00,506.32,495.10,497.98,5895788
1/19/2021,501.00,509.25,493.54,501.77,12315810
1/20/2021,565.42,593.29,556.86,586.34,32637450
1/21/2021,582.45,588.75,570.40,579.84,11840630
1/22/2021,582.10,583.99,564.35,565.17,7550822
1/25/2021,567.00,569.75,548.65,556.78,7207329
1/26/2021,554.73,567.99,554.06,561.93,5023847
1/27/2021,550.71,556.42,515.73,523.28,8670277
1/28/2021,535.88,553.15,530.74,538.60,5968978
1/29/2021,538.00,541.00,530.18,532.39,4325264
2/1/2021,536.79,545.06,531.73,539.04,3547507
2/2/2021,542.01,555.48,538.94,548.16,3767569
2/3/2021,550.17,550.48,538.24,539.45,3172288
2/4/2021,539.81,559.48,537.51,552.16,5164537
2/5/2021,552.26,554.44,545.48,550.79,2376175
2/8/2021,555.00,555.00,543.70,547.92,2791721
2/9/2021,546.00,566.00,543.00,559.07,3703499
2/10/2021,562.50,566.65,553.46,563.59,3991264
2/11/2021,564.44,565.93,554.22,557.59,2730587
2/12/2021,556.94,561.25,550.85,556.52,2197128
2/16/2021,557.29,563.63,552.73,557.28,2624097
2/17/2021,550.99,555.25,543.03,551.34,2071590
2/18/2021,549.00,550.00,538.23,548.22,2457604
2/19/2021,548.00,548.99,538.81,540.22,2841457
2/22/2021,534.99,541.79,530.79,533.78,3078594
2/23/2021,525.00,548.54,518.28,546.15,4136532
2/24/2021,539.80,556.85,539.07,553.41,3245038
2/25/2021,550.27,556.48,535.75,546.70,4252879
2/26/2021,546.51,553.09,538.00,538.85,3755574
3/1/2021,545.57,552.14,542.00,550.64,3042180
3/2/2021,553.34,556.99,546.02,547.82,3042226
3/3/2021,545.93,548.01,517.81,520.70,5362443
3/4/2021,521.50,531.50,507.68,511.29,5034792
3/5/2021,511.98,517.76,498.79,516.39,5069973
3/8/2021,514.46,518.84,492.85,493.33,3981758
3/9/2021,507.31,513.11,503.82,506.44,3470042
3/10/2021,513.50,518.97,504.25,504.54,3771484
3/11/2021,512.21,530.24,510.71,523.06,4714469
3/12/2021,512.50,526.51,506.59,518.02,3981743
3/15/2021,516.32,520.73,508.03,520.25,3485519
3/16/2021,524.47,533.42,523.21,524.03,3238888
3/17/2021,522.00,528.37,514.30,524.44,2817376
3/18/2021,516.40,517.90,503.85,504.79,4096606
3/19/2021,504.96,513.19,501.63,512.18,4386360
3/22/2021,509.13,529.31,509.13,523.11,3360587
3/23/2021,529.87,543.12,529.40,535.09,5583461
3/24/2021,533.78,534.42,520.00,520.81,4102211
3/25/2021,516.99,518.53,497.00,502.86,4926764
3/26/2021,502.82,508.72,496.68,508.05,3467797
3/29/2021,505.66,518.00,504.40,513.95,3330049
3/30/2021,510.51,514.41,506.91,513.39,2418129
3/31/2021,515.68,528.13,515.44,521.66,3503111
4/1/2021,529.93,540.50,527.03,539.42,3938637
4/5/2021,540.01,542.85,529.23,540.67,3355904
4/6/2021,544.81,554.17,543.30,544.53,3474205
4/7/2021,543.50,549.64,541.45,546.99,2151319
4/8/2021,551.13,556.90,547.57,554.58,4309829
4/9/2021,552.69,556.90,547.11,555.31,2894034
4/12/2021,551.05,557.98,549.58,552.78,2944060
4/13/2021,557.00,559.75,550.30,553.73,2720344
4/14/2021,554.87,554.87,538.53,540.02,3740294
4/15/2021,544.17,553.49,542.66,549.22,3139050
4/16/2021,550.54,551.98,539.51,546.54,3209075
4/19/2021,546.90,556.44,545.53,554.44,4288715
4/20/2021,554.42,563.56,546.30,549.57,11257650
4/21/2021,508.00,515.46,503.60,508.90,22897450
4/22/2021,513.82,513.96,500.55,508.78,9061062
4/23/2021,509.01,509.70,500.70,505.55,7314659
4/26/2021,506.76,510.48,503.00,510.30,4388839
4/27/2021,512.62,512.99,504.58,505.55,3761327
4/28/2021,505.20,508.40,503.34,506.52,3192983
4/29/2021,507.60,509.29,499.00,509.00,5127792
4/30/2021,505.00,514.55,505.00,513.47,4413242
5/3/2021,512.65,518.95,505.20,509.11,4091895
5/4/2021,510.78,511.63,496.79,503.18,4349502
5/5/2021,504.99,507.78,494.63,496.08,3129366
5/6/2021,495.99,499.55,491.37,499.55,3783698
5/7/2021,504.62,508.55,501.12,503.84,3132786
5/10/2021,502.00,503.15,486.11,486.69,5131632
5/11/2021,479.75,497.99,478.63,495.08,4401000
5/12/2021,486.83,493.54,482.70,484.98,4121540
5/13/2021,489.13,490.78,482.71,486.66,2716561
5/14/2021,487.86,494.85,486.59,493.37,2882464
5/17/2021,485.59,492.71,482.81,488.94,2701057
5/18/2021,488.40,493.48,486.19,486.28,2350496
5/19/2021,481.63,488.57,478.54,487.70,3349930
5/20/2021,489.55,502.70,488.98,501.67,3721218
5/21/2021,503.12,505.40,497.26,497.89,3322925
5/24/2021,501.05,504.25,499.51,502.90,2412595
5/25/2021,506.00,506.37,499.22,501.34,2699459
5/26/2021,502.34,504.14,500.50,502.36,2465303
5/27/2021,501.80,505.10,498.54,503.86,3253773
5/28/2021,504.40,511.76,502.53,502.81,2911297
6/1/2021,504.01,505.41,497.74,499.08,2482555
6/2/2021,499.82,503.22,495.82,499.24,2268979
6/3/2021,495.19,496.66,487.25,489.43,3887445
6/4/2021,492.00,501.86,490.95,494.74,3160487
6/7/2021,492.92,496.70,490.55,494.66,2791932
6/8/2021,497.00,498.82,489.37,492.39,2374037
6/9/2021,494.50,496.09,484.65,485.81,3055029
6/10/2021,487.17,490.21,482.14,487.27,4382928
6/11/2021,490.00,491.41,487.78,488.77,3123969
6/14/2021,489.68,503.50,486.91,499.89,4400222
6/15/2021,501.23,501.23,490.40,491.90,3104073
6/16/2021,495.00,496.46,486.28,492.41,3533206
6/17/2021,490.25,501.80,490.15,498.34,3198273
6/18/2021,496.40,504.49,495.24,500.77,5197576
6/21/2021,501.64,502.05,492.28,497.00,5277297
6/22/2021,498.54,513.55,495.80,508.82,5809271
6/23/2021,508.48,516.63,508.20,512.74,3944782
6/24/2021,517.96,520.96,514.40,518.06,3361202
6/25/2021,528.84,533.06,525.00,527.07,5299072
6/28/2021,528.12,533.94,524.56,533.03,2820227
6/29/2021,533.55,536.13,528.57,533.50,2314647
6/30/2021,534.06,534.38,526.82,528.21,2773445
7/1/2021,525.72,537.04,525.72,533.54,2805402
7/2/2021,535.50,538.54,529.39,533.98,1980316
7/6/2021,533.00,542.86,533.00,541.64,2775051
7/7/2021,544.24,544.64,531.66,535.96,2722498
7/8/2021,530.93,535.50,529.09,530.76,3268988
7/9/2021,531.00,538.26,528.58,535.98,2777231
7/12/2021,540.30,540.65,532.92,537.31,1780738
7/13/2021,535.76,545.33,535.76,540.68,2751593
7/14/2021,541.01,554.10,541.01,547.95,4659535
7/15/2021,553.97,557.54,538.20,542.95,5713873
7/16/2021,541.81,544.06,527.05,530.31,3442101
7/19/2021,526.05,534.91,522.24,532.28,3885764
7/20/2021,526.07,536.64,520.30,531.05,6930440
7/21/2021,526.13,530.99,505.61,513.63,11906790
7/22/2021,510.21,513.68,507.00,511.77,4328061
7/23/2021,512.16,517.41,504.66,515.41,3820478
7/26/2021,514.38,521.13,509.01,516.49,2254538
7/27/2021,518.08,521.95,512.05,518.91,2759037
7/28/2021,521.82,524.47,516.98,519.30,2390466
7/29/2021,519.96,520.78,513.79,514.25,1736014
7/30/2021,512.69,519.79,510.96,517.57,2537107
8/2/2021,519.00,519.85,510.51,515.15,2096632
8/3/2021,514.39,515.63,505.37,510.82,2579427
8/4/2021,513.00,517.98,510.37,517.35,2039374
8/5/2021,517.13,525.41,514.02,524.89,2556687
8/6/2021,524.00,526.84,519.39,520.55,1919798
8/9/2021,521.15,522.67,517.99,519.97,1367782
8/10/2021,520.00,520.79,512.97,515.84,1960544
8/11/2021,517.00,519.57,509.77,512.40,1673904
8/12/2021,511.86,513.00,507.20,510.72,1686170
8/13/2021,512.64,521.44,511.51,515.92,2177736
8/16/2021,515.24,523.38,512.30,517.92,2033176
8/17/2021,515.47,520.79,514.20,518.91,2309803
8/18/2021,520.00,526.38,518.65,521.87,2582046
8/19/2021,522.74,548.39,521.87,543.71,7497292
8/20/2021,545.09,551.39,539.10,546.88,3776429
8/23/2021,545.98,555.55,543.74,553.33,2602010
8/24/2021,551.48,555.31,549.27,553.41,2109525
8/25/2021,550.16,552.84,545.45,547.58,2065621
8/26/2021,546.16,552.60,545.90,550.12,1595499
8/27/2021,551.60,564.17,549.25,558.92,3252595
8/30/2021,557.25,567.16,556.45,566.18,2434839
8/31/2021,566.12,569.48,561.61,569.19,2431886
9/1/2021,569.00,591.00,569.00,582.07,5626214
9/2/2021,583.68,598.76,583.68,588.55,6184782
9/3/2021,585.80,591.88,583.14,590.53,2684005
9/7/2021,594.69,613.85,593.99,606.71,5830979
9/8/2021,603.84,615.60,595.71,606.05,5424503
9/9/2021,606.47,609.44,596.55,597.54,2954214
9/10/2021,598.16,609.45,593.67,598.72,3950764
9/13/2021,598.57,598.57,582.78,589.29,3062871
9/14/2021,584.89,587.28,575.56,577.76,3456958
9/15/2021,578.17,584.62,575.37,582.87,2755615
9/16/2021,584.30,587.48,577.72,586.50,1832028
9/17/2021,587.85,590.28,580.85,589.35,4145145
9/20/2021,586.79,591.53,568.08,575.43,3732227
9/21/2021,578.31,581.88,569.37,573.14,2250884
9/22/2021,579.69,595.65,579.69,590.65,4021845
9/23/2021,590.79,599.32,589.13,593.26,2526161
9/24/2021,592.50,592.98,583.64,592.39,2126246
9/27/2021,587.95,593.58,576.93,592.64,2504738
9/28/2021,589.00,599.54,580.16,583.85,4431051
9/29/2021,589.01,609.88,588.01,599.06,6221026
9/30/2021,608.05,619.00,608.05,610.34,6616040
10/1/2021,604.24,614.99,597.51,613.15,4090847
10/4/2021,613.39,626.13,594.68,603.35,4995932
10/5/2021,606.94,640.39,606.89,634.81,9534293
10/6/2021,628.18,639.87,626.36,639.10,4580434
10/7/2021,642.23,646.84,630.45,631.85,3556886
10/8/2021,634.17,643.80,630.86,632.66,3272093
10/11/2021,633.20,639.42,626.78,627.04,2862470
10/12/2021,633.02,637.66,621.99,624.94,3227349
10/13/2021,632.18,632.18,622.10,629.76,2424638
10/14/2021,632.23,636.88,626.79,633.80,2672535
10/15/2021,638.00,639.42,625.16,628.29,4116874
